"GeneName","ID","baseMean","log2FC","pval","padj","diff_expressed","Ensembl_link"
"H19","ENSMUSG00000000031",320.2382172,-2.524180131,4.81868e-48,9.1424e-45,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000000031"
"Npr3","ENSMUSG00000022206",55.77417523,2.436011821,1.35762e-40,2.00339e-37,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022206"
"Pappa2","ENSMUSG00000073530",26.12359547,3.122066657,5.56031e-40,6.71332e-37,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000073530"
"Ptprz1","ENSMUSG00000068748",114.2982026,1.792421271,9.55942e-36,9.76605e-33,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000068748"
"Slc7a2","ENSMUSG00000031596",123.8031264,1.679240478,1.03937e-32,9.20258e-30,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000031596"
"Grem1","ENSMUSG00000074934",432.5039204,-1.123363697,9.18264e-23,6.77526e-20,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000074934"
"Il1rl1","ENSMUSG00000026069",226.2052294,-1.404782436,4.85581e-17,2.93136e-14,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000026069"
"Nrep","ENSMUSG00000042834",185.7345792,1.082031893,7.29842e-17,4.21436e-14,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000042834"
"Gfra2","ENSMUSG00000022103",158.0567195,1.139201662,2.38024e-16,1.26448e-13,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022103"
"Ogn","ENSMUSG00000021390",190.0984751,1.025675222,2.73358e-15,1.22875e-12,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000021390"
"Rab27b","ENSMUSG00000024511",34.13403436,1.997924479,2.81174e-15,1.22875e-12,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000024511"
"Bmp3","ENSMUSG00000029335",68.86586266,-3.465115052,4.63095e-15,1.92199e-12,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000029335"
"Abca1","ENSMUSG00000015243",145.6823848,1.03230926,3.11019e-12,1.11639e-09,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000015243"
"Slc12a2","ENSMUSG00000024597",152.1385594,1.004462989,5.54714e-12,1.88901e-09,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000024597"
"Slco4a1","ENSMUSG00000038963",89.19085685,-2.072687125,7.31836e-12,2.42988e-09,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000038963"
"Kcnj2","ENSMUSG00000041695",109.9940862,-1.542661448,3.97945e-10,1.12449e-07,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000041695"
"Lbp","ENSMUSG00000016024",49.01910363,1.459503136,4.28943e-10,1.18683e-07,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000016024"
"Hr","ENSMUSG00000022096",15.48286322,2.230822494,5.64339e-10,1.52959e-07,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022096"
"Fmod","ENSMUSG00000041559",45.73123692,1.47727651,9.07989e-10,2.4118e-07,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000041559"
"Col11a1","ENSMUSG00000027966",85.06607862,1.140473808,1.69559e-09,4.33061e-07,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000027966"
"Cacna1g","ENSMUSG00000020866",78.66968339,1.156763943,3.71204e-09,9.30181e-07,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000020866"
"Deptor","ENSMUSG00000022419",53.8014552,1.295783284,1.90088e-08,4.59011e-06,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022419"
"Mmp3","ENSMUSG00000043613",117.2273929,-1.190556345,9.13368e-08,2.05601e-05,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000043613"
"C4b","ENSMUSG00000073418",13.74926077,2.049503739,2.08209e-07,4.38923e-05,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000073418"
"Apob","ENSMUSG00000020609",86.50078409,-1.393004618,2.51569e-07,5.18331e-05,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000020609"
"Gbp3","ENSMUSG00000028268",49.67667697,1.245725508,2.75107e-07,5.53591e-05,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000028268"
"Sfrp1","ENSMUSG00000031548",30.3081531,-3.334471247,3.05562e-07,5.9679e-05,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000031548"
"Apoe","ENSMUSG00000002985",49.25822121,1.222791645,5.72616e-07,0.000103242,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000002985"
"Cthrc1","ENSMUSG00000054196",36.40565135,1.371856484,6.68453e-07,0.00011837,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000054196"
"Itm2a","ENSMUSG00000031239",71.7352736,1.009781107,1.9159e-06,0.000322089,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000031239"
"Fgf10","ENSMUSG00000021732",89.78865079,-1.213477094,2.09631e-06,0.000348013,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000021732"
"Plac8","ENSMUSG00000029322",53.50255823,-1.672840271,3.9455e-06,0.000631327,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000029322"
"Cdo1","ENSMUSG00000033022",32.69932888,1.342767267,4.56338e-06,0.000713015,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000033022"
"Fras1","ENSMUSG00000034687",50.27447092,1.096992209,1.01549e-05,0.001450192,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000034687"
"Fam198b","ENSMUSG00000027955",42.50314961,1.149316939,1.7126e-05,0.002344851,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000027955"
"Ifit1","ENSMUSG00000034459",55.17638128,1.028913305,1.92391e-05,0.002574538,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000034459"
"Ptprb","ENSMUSG00000020154",86.62034288,-1.081536617,1.97083e-05,0.002591549,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000020154"
"Clu","ENSMUSG00000022037",54.51880794,1.01759739,2.77944e-05,0.003515597,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022037"
"Plekhg5","ENSMUSG00000039713",49.19844181,1.058880578,2.91273e-05,0.003649433,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000039713"
"Bmp4","ENSMUSG00000021835",51.52983821,1.029887172,3.55426e-05,0.00433065,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000021835"
"Chodl","ENSMUSG00000022860",4.064998838,2.672037749,3.7547e-05,0.004444884,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000022860"
"Hmga2","ENSMUSG00000056758",87.15835743,-1.012677581,4.73361e-05,0.005466705,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000056758"
"Nsg1","ENSMUSG00000029126",39.63373867,-1.654998958,8.06825e-05,0.008641488,"DOWN","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000029126"
"Itih2","ENSMUSG00000037254",12.61345228,1.714103701,9.37693e-05,0.00988373,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000037254"
"Aspn","ENSMUSG00000021388",17.63492143,1.493666151,0.000114398,0.011687028,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000021388"
"Tmprss11a","ENSMUSG00000072845",4.184557627,2.522087673,0.000121928,0.012255091,"UP","https://www.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=ENSMUSG00000072845"
